,index,length,min,max,var,mean,sum,trims,paths,mean10
68,1,46,162.0,188.0,27.14,181.48,6600,"(0.14, 0.92)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_1_6000_2000_0.5`_steel_20201218_102258.txt,0.0
79,2,45,174.0,217.0,71.1,211.36,7801,"(0.12, 0.91)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_2_6000_2000_0.5`_steel_20201218_102304.txt,0.0
90,3,47,160.0,218.0,103.91,211.85,8171,"(0.12, 0.92)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_3_6000_2000_0.5`_steel_20201218_102309.txt,0.0
101,4,46,160.0,217.0,99.29,211.78,7994,"(0.12, 0.93)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_4_6000_2000_0.5`_steel_20201218_102314.txt,0.0
112,5,46,172.0,217.0,65.39,211.76,7993,"(0.14, 0.93)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_5_6000_2000_0.5`_steel_20201218_102320.txt,0.0
123,6,45,182.0,217.0,46.82,212.16,7837,"(0.14, 0.91)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_6_6000_2000_0.5`_steel_20201218_102325.txt,0.0
134,7,47,176.0,216.0,60.28,211.38,8149,"(0.12, 0.93)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_7_6000_2000_0.5`_steel_20201218_102330.txt,0.0
145,8,48,158.0,216.0,97.34,210.75,8292,"(0.12, 0.93)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_8_6000_2000_0.5`_steel_20201218_102336.txt,0.0
156,9,46,172.0,217.0,68.3,211.28,7971,"(0.12, 0.91)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_9_6000_2000_0.5`_steel_20201218_102341.txt,0.0
9,10,46,167.0,217.0,83.82,210.96,7956,"(0.12, 0.91)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_10_6000_2000_0.5`_steel_20201218_102346.txt,0.0
20,11,46,173.0,217.0,66.1,211.65,7988,"(0.12, 0.91)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_11_6000_2000_0.5`_steel_20201218_102352.txt,208.47599999999997
31,12,46,171.0,217.0,69.19,211.5,7981,"(0.12, 0.93)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_12_6000_2000_0.5`_steel_20201218_102357.txt,211.493
40,13,47,176.0,217.0,57.57,211.0,8131,"(0.12, 0.92)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_13_6000_2000_0.5`_steel_20201218_102402.txt,211.507
51,14,46,172.0,216.0,60.6,209.98,7911,"(0.1, 0.9)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_14_6000_2000_0.5`_steel_20201218_102408.txt,211.42199999999997
62,15,44,183.0,216.0,38.59,208.32,7494,"(0.12, 0.91)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_15_6000_2000_0.5`_steel_20201218_102413.txt,211.24200000000002
64,16,46,173.0,212.0,54.22,206.96,7772,"(0.12, 0.91)",D:\xy-repo\data\20201218\192.168.101.10\T06\T06_load_16_6000_2000_0.5`_steel_20201218_102418.txt,210.898
